序号,定位时间,接收时间,经度/纬度,速度(km/h),方向,定位类型,上报模式,位置
1,2022-11-19 10:42:31,2022-11-19 10:42:37,116.275947/40.204756,10km/h,正东向(方向数： 36),卫星定位,定时上报,"北京市昌平区内环西路,中国铁建青秀尚城东北94米"
2,2022-11-19 10:42:51,2022-11-19 10:42:51,116.276409/40.205187,15km/h,正东向(方向数： 51),卫星定位,定时上报,"北京市昌平区内环西路,中国铁建青秀尚城东北149米"
3,2022-11-19 10:43:00,2022-11-19 10:43:00,116.276809/40.205391,18km/h,西北向(方向数：71),卫星定位,拐点上传,"北京市昌平区内环西路,中国铁建青秀尚城东南20米"
4,2022-11-19 10:43:02,2022-11-19 10:43:03,116.276924/40.205382,16km/h,西北向(方向数：102),卫星定位,拐点上传,"北京市昌平区内环西路,中国铁建青秀尚城东南30米"
5,2022-11-19 10:43:04,2022-11-19 10:43:05,116.277058/40.205324,20km/h,东南向(方向数：140),卫星定位,拐点上传,"北京市昌平区内环西路,中国铁建青秀尚城东南43米"
6,2022-11-19 10:43:14,2022-11-19 10:43:14,116.277831/40.204671,34km/h,东南向(方向数：128),卫星定位,定时上报,"北京市昌平区内环西路,南邵镇西南283米"
7,2022-11-19 10:43:24,2022-11-19 10:43:24,116.278987/40.204373,27km/h,西北向(方向数：108),卫星定位,定时上报,"北京市昌平区内环西路,南邵镇西南263米"
8,2022-11-19 10:43:27,2022-11-19 10:43:27,116.279253/40.204271,29km/h,东南向(方向数：130),卫星定位,拐点上传,"北京市昌平区内环东路,南邵镇西南268米"
9,2022-11-19 10:43:30,2022-11-19 10:43:30,116.279413/40.204093,29km/h,东南向(方向数：153),卫星定位,拐点上传,"北京市昌平区内环东路,南邵镇南285米"
10,2022-11-19 10:43:32,2022-11-19 10:43:32,116.279396/40.20388,37km/h,正南向(方向数：183),卫星定位,拐点上传,"北京市昌平区中安路,南邵镇南309米"
11,2022-11-19 10:43:42,2022-11-19 10:43:43,116.279369/40.202956,24km/h,正南向(方向数：175),卫星定位,定时上报,"北京市昌平区中安路,南邵镇南411米"
12,2022-11-19 10:44:02,2022-11-19 10:44:02,116.279324/40.202449,33km/h,正南向(方向数：183),卫星定位,定时上报,"北京市昌平区景兴街,中科云谷园西北266米"
13,2022-11-19 10:44:12,2022-11-19 10:44:12,116.279316/40.201364,42km/h,正南向(方向数：180),卫星定位,定时上报,"北京市昌平区中安路,中科云谷园西北217米"
14,2022-11-19 10:44:22,2022-11-19 10:44:23,116.279324/40.200267,40km/h,正南向(方向数：179),卫星定位,定时上报,"北京市昌平区中安路,南瑞智能电网大楼西北201米"
15,2022-11-19 10:44:32,2022-11-19 10:44:33,116.279342/40.199116,46km/h,正南向(方向数：181),卫星定位,定时上报,"北京市昌平区景旺街,南瑞智能电网大楼西141米"
16,2022-11-19 10:44:42,2022-11-19 10:44:43,116.279324/40.19784,53km/h,正南向(方向数：179),卫星定位,定时上报,"北京市昌平区X030(中安路),南瑞智能电网大楼西南192米"
17,2022-11-19 10:44:52,2022-11-19 10:44:56,116.279342/40.196516,51km/h,正南向(方向数：181),卫星定位,定时上报,"北京市昌平区X030(中安路),智能电网产业大厦西南244米"
18,2022-11-19 10:45:02,2022-11-19 10:45:02,116.279369/40.195276,43km/h,正南向(方向数：179),卫星定位,定时上报,"北京市昌平区X030(中安路),智能电网产业大厦西南360米"
